Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
SLMT,Brera Holdings PLC,COMMON STOCK,G13311116,"7,595",0.1%,"9,687,877",,
Z,Zillow Group Inc,COMMON STOCK,98954M200,"6,897",0.1%,"166,685",,
ARKK,ARK Innovation ETF,ETP,00214Q104,"6,464",0.1%,"95,637",,
GENB,Generate Biomedicines Inc,COMMON STOCK,370920100,"6,230",0.0%,"498,408",,
PAYP,PayPay Corp,ADR,70450C101,"5,711",0.0%,"267,663",,
QSI,Quantum-Si Inc,COMMON STOCK,74765K105,"5,324",0.0%,"6,878,899",,
KSPI.IL,Kaspi.KZ JSC,ADR,48581R205,"4,639",0.0%,"62,632",,
ICE,Intercontinental Exchange Inc,COMMON STOCK,45866F104,"4,589",0.0%,"29,181",,
SSYS,Stratasys Ltd,COMMON STOCK,M85548101,"3,252",0.0%,"416,428",,
TSEM,Tower Semiconductor Ltd,COMMON STOCK,M87915274,"3,174",0.0%,"18,090",,
XRAY,Dentsply Sirona Inc,COMMON STOCK,24906P109,"3,094",0.0%,"266,748",,
ADSK,Autodesk Inc,COMMON STOCK,52769106,"2,980",0.0%,"12,449",,
PTC,PTC Inc,COMMON STOCK,69370C100,"2,787",0.0%,"19,563",,
PRLB,Proto Labs Inc,COMMON STOCK,743713109,"2,606",0.0%,"45,704",,
BWAY,Brainsway Ltd,ADR,10501L106,"2,574",0.0%,"193,686",,
